jdate,q_ref0,q_ref1,q_ref2,q_ref3,w_ref0,w_ref1,w_ref2,a_ref0,a_ref1,a_ref2
2459000.5633101854,0.24541670792827,0.641410283527469,-0.38904646405444865,-0.6140084172563051,-4.086482567577357e-05,-0.00011556677177220493,-0.0011214758202044784,-0.005789914936938199,-0.004200226307891364,-0.007507720421767192
2459000.5633333335,0.24470918629265334,0.6417651765254415,-0.388330085315071,-0.6143733532490208,-4.099856768214943e-05,-0.00011566361265845533,-0.0011216437221361678,-0.005783109281173591,-0.004216929007848709,-0.007485599957614106
2459000.5633564815,0.24400129110780464,0.6421192288117464,-0.3876130390243438,-0.6147376659244534,-4.1132560764359574e-05,-0.00011576199890809058,-0.0011218223738783464,-0.005794082570074359,-0.0042838437266306505,-0.007950411143853588
2459000.5633796295,0.24329302328162883,0.6424724391911201,-0.3868953262635846,-0.6151013544268064,-4.126681079061421e-05,-0.0001158619376811852,-0.001122011794729716,-0.005787144869718672,-0.004300519635304072,-0.007927997814893124
2459000.563402778,0.24258436947790724,0.6428248135438995,-0.38617693367081257,-0.6154644251927691,-4.140048537958454e-05,-0.00011596109796202739,-0.0011221894125151661,-0.005762238826079637,-0.004266864709621291,-0.007417976250334792
2459000.563425926,0.24187535911756772,0.6431763365010755,-0.38545789123482943,-0.6158268627638789,-4.153358234291972e-05,-0.00011605947862949013,-0.0011223552211476408,-0.005755286041624339,-0.004283560960232467,-0.007395189517533421
2459000.563449074,0.24116597888058228,0.6435270139604673,-0.3847381856174975,-0.6161886735906876,-4.16669323622152e-05,-0.00011615940989379131,-0.001122531780543215,-0.005766344740802751,-0.004350665193310113,-0.007859803492957817
2459000.563472222,0.24045622969721578,0.6438768447256877,-0.3840178179255131,-0.6165498568174513,-4.1800541299587225e-05,-0.00011626089722186067,-0.0011227190989652892,-0.005759260350001377,-0.004367295056909967,-0.007836491161829105
2459000.5634953706,0.23974609821405252,0.6442258346122072,-0.38329677476012675,-0.6169104188355289,-4.1933566021470654e-05,-0.0001163616004167587,-0.0011228945827412788,-0.005733977833529721,-0.004333416890151789,-0.007325265655616058
2459000.5635185186,0.239035613943696,0.644573968382035,-0.38257508625106923,-0.6172703442826187,-4.206600446654465e-05,-0.00011646151930391332,-0.00112305823320616,-0.00573607512254984,-0.004375447852578745,-0.007545880052447281
2459000.5635416666,0.2383247635391587,0.6449212518728046,-0.38185273901416433,-0.6176296395690536,-4.2199123614523816e-05,-0.00011656416634824252,-0.001123243927145141,-0.005737957005761476,-0.004417335982255462,-0.007766003267039626
2459000.563564815,0.2376135336473786,0.6452676908452117,-0.3811297196361032,-0.6179883110456051,-4.233165185529245e-05,-0.00011666602654712368,-0.0011234177720606381,-0.005712388255149725,-0.004383311547570868,-0.007253999967206013
2459000.563587963,0.23690195382356097,0.6456132701715456,-0.3804060583281522,-0.6183463434356352,-4.246358725933162e-05,-0.0001167670983788435,-0.0011235797620332954,-0.005705180145541382,-0.004399964182262204,-0.0072299274144708445
2459000.563611111,0.23619001073119886,0.6459579956308965,-0.379681741700126,-0.6187037431039752,-4.259577913309407e-05,-0.00011686972748771427,-0.0011237524891068965,-0.005716384716359218,-0.004467359689658274,-0.007693948723950778
2459000.563634259,0.23547770532100704,0.6463018660338282,-0.3789567708863851,-0.6190605092051247,-4.272823326445009e-05,-0.0001169739194648897,-0.0011239359614310638,-0.00570904235607494,-0.004483946283325952,-0.007669358391493401
2459000.5636574076,0.23476502422367254,0.6466448870765511,-0.37823113243687945,-0.6194166480443746,-4.286008787444907e-05,-0.00011707731855545056,-0.0011241075536408457,-0.005683096242829274,-0.004449717134953601,-0.007156329293299279
2459000.5636805557,0.23405199708475535,0.6469870437644213,-0.37750485670276757,-0.6197721444429682,-4.2991340791291815e-05,-0.00011717992584248715,-0.0011242672745078045,-0.0056757374073711665,-0.004466359462719399,-0.007131611265190953
2459000.5637037037,0.23333861053095614,0.6473283418202422,-0.37677793023962464,-0.6201270047305496,-4.3122852069914014e-05,-0.00011728409333494521,-0.0011244377190382147,-0.0056870232972537895,-0.004533869932931335,-0.007594971571251033
